timestamp,msg_type,scan_index,dist_or_yaw,pulse_L_or_ax,pulse_R_or_ay,az,gz
12:52:18.198,S,2,54.0,118.9,42.4,,
12:52:18.323,S,2,56.0,90.2,42.4,,
12:52:18.387,S,2,58.0,118.9,41.5,,
12:52:18.514,S,2,60.0,96.3,41.1,,
12:52:18.636,S,2,62.0,120.2,40.6,,
12:52:18.700,S,2,64.0,97.5,41.0,,
12:52:18.827,S,2,66.0,164.4,40.6,,
12:52:18.953,S,2,68.0,90.1,40.5,,
12:52:19.079,S,2,70.0,90.0,40.1,,
12:52:19.142,S,2,72.0,90.0,40.1,,
12:52:19.260,S,2,74.0,89.2,40.1,,
12:52:19.388,S,2,76.0,90.4,40.0,,
12:52:19.453,S,2,78.0,88.7,40.0,,
12:52:19.580,S,2,80.0,88.7,40.0,,
12:52:19.644,S,2,82.0,89.5,40.0,,
12:52:19.773,S,2,84.0,87.9,40.0,,
12:52:19.836,S,2,86.0,85.4,40.0,,
12:52:19.947,S,2,88.0,86.2,40.0,,
12:52:20.077,S,2,90.0,51.5,40.1,,
12:52:20.134,S,2,92.0,50.2,40.0,,
12:52:20.261,S,2,94.0,50.6,40.0,,
12:52:20.323,S,2,96.0,49.3,40.1,,
12:52:20.450,S,2,98.0,49.7,40.0,,
12:52:20.513,S,2,100.0,50.2,40.4,,
12:52:20.637,S,2,102.0,49.3,40.1,,
12:52:20.764,S,2,104.0,49.3,40.5,,
12:52:20.826,S,2,106.0,49.2,41.0,,
12:52:20.952,S,2,108.0,48.9,41.0,,
12:52:21.016,S,2,110.0,48.8,41.0,,
12:52:21.142,S,2,112.0,48.9,41.9,,
12:52:21.196,S,2,114.0,48.9,41.9,,
12:52:21.324,S,2,116.0,48.9,42.8,,
12:52:21.389,S,2,118.0,49.3,44.5,,
12:52:21.517,S,2,120.0,49.3,122.0,,
12:52:21.642,S,2,122.0,49.8,94.8,,
12:52:21.704,S,2,124.0,49.4,138.4,,
12:52:21.828,S,2,126.0,50.3,107.7,,
12:52:21.949,S,2,128.0,49.8,138.9,,
12:52:22.076,S,2,130.0,50.3,139.3,,
12:52:22.140,S,2,132.0,51.2,139.7,,
12:52:22.269,S,2,134.0,52.1,138.5,,
12:52:22.385,S,2,136.0,114.0,85.8,,
12:52:22.511,S,2,138.0,114.4,87.0,,
12:52:22.637,S,2,140.0,113.1,85.2,,
12:52:22.764,S,2,142.0,117.2,85.2,,
12:52:22.827,S,2,144.0,110.8,84.3,,
12:52:22.954,S,2,146.0,111.7,84.3,,
12:52:23.080,S,2,148.0,110.0,84.7,,
12:52:23.197,S,2,150.0,102.0,83.8,,
12:52:23.325,S,2,152.0,111.7,83.8,,
12:52:23.452,S,2,154.0,112.1,83.4,,
12:52:23.517,S,2,156.0,104.4,83.7,,
12:52:23.706,S,2,158.0,111.1,83.3,,
12:52:23.768,S,2,160.0,110.3,83.7,,
12:52:23.884,S,2,162.0,110.7,83.2,,
12:52:24.013,S,2,164.0,110.7,83.2,,
12:52:24.076,S,2,166.0,111.6,83.2,,
12:52:24.205,S,2,168.0,111.5,83.2,,
12:52:24.332,S,2,170.0,110.7,83.2,,
12:52:24.460,S,2,172.0,110.7,83.2,,
12:52:24.572,S,2,174.0,111.0,82.8,,
12:52:24.698,S,2,176.0,110.6,83.2,,
12:52:24.761,S,2,178.0,111.1,83.2,,
12:52:24.887,S,2,180.0,111.9,83.2,,
12:52:25.325,STEP,3,10.3,0.161,0.026,0.881,-1.29
12:52:26.013,S,3,0.0,92.3,102.0,,
12:52:26.141,S,3,2.0,92.3,102.4,,
12:52:26.266,S,3,4.0,92.4,102.3,,
12:52:26.389,S,3,6.0,92.8,102.0,,
12:52:26.452,S,3,8.0,92.4,102.4,,
12:52:26.572,S,3,10.0,92.8,102.8,,
12:52:26.700,S,3,12.0,92.4,102.8,,
12:52:26.827,S,3,14.0,92.4,102.4,,
12:52:26.952,S,3,16.0,92.5,102.9,,
12:52:27.015,S,3,18.0,93.3,102.9,,
12:52:27.141,S,3,20.0,92.9,104.2,,
12:52:27.261,S,3,22.0,92.6,103.4,,
12:52:27.389,S,3,24.0,93.8,103.8,,
12:52:27.516,S,3,26.0,93.0,105.1,,
12:52:27.645,S,3,28.0,94.3,104.3,,
12:52:27.709,S,3,30.0,94.4,109.1,,
12:52:27.835,S,3,32.0,95.3,107.4,,
12:52:27.949,S,3,34.0,93.6,109.1,,
12:52:28.072,S,3,36.0,95.4,109.5,,
12:52:28.199,S,3,38.0,97.9,109.6,,
12:52:28.326,S,3,40.0,95.8,109.6,,
12:52:28.451,S,3,42.0,98.9,110.5,,
12:52:28.572,S,3,44.0,111.0,110.1,,
12:52:28.637,S,3,46.0,110.3,110.5,,
12:52:28.765,S,3,48.0,125.3,110.9,,
12:52:28.953,S,3,50.0,142.6,111.9,,
12:52:29.017,S,3,52.0,140.1,112.3,,
12:52:29.142,S,3,54.0,130.4,113.6,,
12:52:29.260,S,3,56.0,140.5,43.1,,
12:52:29.389,S,3,58.0,215.0,41.3,,
12:52:29.516,S,3,60.0,141.4,41.3,,
12:52:29.645,S,3,62.0,195.7,40.9,,
12:52:29.764,S,3,64.0,131.7,40.8,,
12:52:29.884,S,3,66.0,197.0,40.4,,
12:52:29.949,S,3,68.0,88.8,40.4,,
12:52:30.077,S,3,70.0,88.8,40.0,,
12:52:30.140,S,3,72.0,88.8,40.0,,
12:52:30.261,S,3,74.0,87.1,39.9,,
12:52:30.385,S,3,76.0,86.7,39.9,,
12:52:30.448,S,3,78.0,85.4,39.9,,
12:52:30.574,S,3,80.0,85.4,39.9,,
12:52:30.636,S,3,82.0,48.8,39.9,,
12:52:30.762,S,3,84.0,48.8,39.9,,
12:52:30.826,S,3,86.0,47.9,39.9,,
